,Date,Unix,Ticker,DE Ratio,Price,stock_p_change,SP500,sp500_p_change
0,2004-01-30 19:01:02,1075456862.0,a,0.407,36.65,0.0,1131.130005,0.0
1,2004-04-13 04:07:11,1081796831.0,a,0.375,31.87,-13.042291950886762,1129.439941,-0.14941377140816745
2,2004-12-13 21:37:34,1102941454.0,a,0.323,23.84,-34.95225102319236,1198.680054,5.971908507545951
3,2005-01-22 05:17:19,1106338639.0,a,0.322,21.8,-40.518417462482944,1184.630005,4.729783469938099
4,2006-01-09 02:35:16,1136741716.0,a,0.0,34.65,-5.457025920873124,1290.150024,14.058509481410145
5,2006-06-21 11:01:16,1150855276.0,a,0.368,32.18,-12.19645293315143,1252.199951,10.703451014899041
6,2006-08-19 10:42:01,1155951721.0,a,0.396,31.8,-13.23328785811732,1295.430054,14.525301978882608
7,2007-02-20 17:46:56,1171961216.0,a,0.411,32.48,-11.377899045020468,1459.680054,29.046179267430887
8,2007-04-12 05:07:51,1176322071.0,a,0.411,34.62,-5.538881309686224,1447.800049,27.995901673565804
9,2008-01-23 19:28:50,1201084130.0,a,0.645,32.16,-12.251023192360169,1338.599976,18.3418325111091
10,2008-02-14 04:44:34,1202931874.0,a,0.645,32.68,-10.832196452933148,1348.859985,19.248890846989784
11,2008-04-26 04:49:23,1209152963.0,a,0.67,31.53,-13.969986357435191,1379.930054,21.995707646354933
12,2008-12-06 19:21:33,1228558893.0,a,0.83,17.26,-52.905866302864936,870.73999,-23.020343713718386
13,2004-04-13 04:20:10,1081797610.0,aa,0.595,34.26,0.0,1129.439941,0.0
14,2004-09-09 16:15:45,1094714145.0,aa,0.561,32.89,-3.9988324576765835,1118.380005,-0.9792407368033841
15,2004-11-24 10:37:20,1101260240.0,aa,0.53,33.58,-1.9848219497956794,1181.76001,4.6323905416056
16,2004-12-05 00:36:42,1102174602.0,aa,0.53,32.86,-4.086398131932278,1190.329956,5.391168913867899
17,2005-01-13 07:18:32,1105568312.0,aa,0.457,29.43,-14.098073555166371,1177.449951,4.250780254635953
18,2005-02-07 03:48:37,1107715717.0,aa,0.457,29.37,-14.27320490367775,1201.719971,6.399634666364247
19,2005-05-22 08:48:23,1116719303.0,aa,0.543,27.45,-19.87740805604203,1191.079956,5.457573507222014
20,2006-06-20 04:32:21,1150745541.0,aa,0.526,29.1,-15.061295971978975,1240.119995,9.799551971041895
21,2007-01-25 19:09:37,1169719777.0,aa,0.494,31.46,-8.172796263864557,1423.900024,26.07133609417837
22,2007-02-23 09:03:42,1172189022.0,aa,0.494,34.75,1.4302393461763048,1451.189941,28.48757054891509
23,2007-05-16 21:12:47,1179317567.0,aa,0.494,39.04,13.952130764740225,1514.140015,34.06113596969029
24,2007-06-22 06:39:12,1182461952.0,aa,0.503,40.34,17.746643315820215,1502.560059,33.03585294403891
25,2007-10-11 20:57:59,1192103879.0,aa,0.47,38.08,11.150029188558088,1554.410034,37.626621617766915
26,2008-01-23 16:05:53,1201071953.0,aa,0.499,28.04,-18.155283129013426,1338.599976,18.518916093476445
27,2008-10-28 00:52:22,1225122742.0,aa,0.672,9.04,-73.61354349095154,940.51001,-16.727753653967874
28,2008-12-05 01:03:15,1228406595.0,aa,0.672,8.06,-76.47402218330413,876.070007,-22.433236580571755
29,2008-12-06 09:33:46,1228523626.0,aa,0.672,8.15,-76.21132516053707,870.73999,-22.905153395845776
30,2008-12-18 10:54:07,1229565247.0,aa,0.672,10.35,-69.78984238178634,885.2800289999999,-21.617786226315168
31,2003-12-07 10:36:10,1070760970.0,aapl,0.072,20.85,0.0,1069.719971,0.0
